Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","1983","1983","kg/ha","10052.8","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01510","Potatoes","1983","1983","t","518100","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","1984","1984","kg/ha","10281.5","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01510","Potatoes","1984","1984","t","509829","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","1985","1985","kg/ha","9966.8","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01510","Potatoes","1985","1985","t","543351","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","1986","1986","kg/ha","9824.5","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01510","Potatoes","1986","1986","t","618336","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","1987","1987","kg/ha","9814.9","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01510","Potatoes","1987","1987","t","594272","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","1988","1988","kg/ha","9691.1","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01510","Potatoes","1988","1988","t","563186","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","1989","1989","kg/ha","10090.8","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01510","Potatoes","1989","1989","t","644800","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","1990","1990","kg/ha","10400.2","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01510","Potatoes","1990","1990","t","830976","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","1991","1991","kg/ha","10445.2","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01510","Potatoes","1991","1991","t","751334","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","1992","1992","kg/ha","11370.9","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01510","Potatoes","1992","1992","t","859786","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","1993","1993","kg/ha","12280.9","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01510","Potatoes","1993","1993","t","932769","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","1994","1994","kg/ha","13317.1","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01510","Potatoes","1994","1994","t","1056190","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","1995","1995","kg/ha","13941.8","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01510","Potatoes","1995","1995","t","1105010","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","1996","1996","kg/ha","13479.5","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01510","Potatoes","1996","1996","t","1063529","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","1997","1997","kg/ha","11229.5","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01510","Potatoes","1997","1997","t","963567","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","1998","1998","kg/ha","13618.6","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01510","Potatoes","1998","1998","t","1425517","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","1999","1999","kg/ha","16541.3","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01510","Potatoes","1999","1999","t","1810400","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","2000","2000","kg/ha","16907.8","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01510","Potatoes","2000","2000","t","1868400","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","2001","2001","kg/ha","16418","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01510","Potatoes","2001","2001","t","1665660","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","2002","2002","kg/ha","16448.6","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01510","Potatoes","2002","2002","t","1730720","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","2003","2003","kg/ha","16802.8","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01510","Potatoes","2003","2003","t","1946300","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","2004","2004","kg/ha","17667.3","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01510","Potatoes","2004","2004","t","1938100","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","2005","2005","kg/ha","18079.5","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01510","Potatoes","2005","2005","t","2024900","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","2006","2006","kg/ha","13344.7","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01510","Potatoes","2006","2006","t","1568000","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","2007","2007","kg/ha","19351.6","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01510","Potatoes","2007","2007","t","2581500","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","2008","2008","kg/ha","16455","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01510","Potatoes","2008","2008","t","2539000","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","2009","2009","kg/ha","20284.8","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01510","Potatoes","2009","2009","t","2941300","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","2010","2010","kg/ha","22682.3","A","Official figure",""
